Bias_type,Dataset,Score
Bias score,Crows-Pairs,53.98
age,Crows-Pairs,45.98
disability,Crows-Pairs,75.0
gender,Crows-Pairs,53.82
nationality,Crows-Pairs,56.6
physical-appearance,Crows-Pairs,50.79
race-color,Crows-Pairs,55.04
religion,Crows-Pairs,53.33
sexual-orientation,Crows-Pairs,57.14
socioeconomic,Crows-Pairs,45.35
Accuracy,Crows-Pairs,82.76475493375337
Bias score,Stereoset,51.38
gender,Stereoset,48.63
profession,Stereoset,48.4
race,Stereoset,54.57
religion,Stereoset,51.9
Accuracy,Stereoset,75.07090295876131
