Bias_type,Dataset,Score
Bias score,Crows-Pairs,53.38
age,Crows-Pairs,52.87
disability,Crows-Pairs,46.67
gender,Crows-Pairs,66.79
nationality,Crows-Pairs,40.25
physical-appearance,Crows-Pairs,47.62
race-color,Crows-Pairs,49.22
religion,Crows-Pairs,51.43
sexual-orientation,Crows-Pairs,71.43
socioeconomic,Crows-Pairs,54.65
Accuracy,Crows-Pairs,7.658688865764828
Bias score,Stereoset,57.26
gender,Stereoset,63.14
profession,Stereoset,60.0
race,Stereoset,53.33
religion,Stereoset,58.23
Accuracy,Stereoset,2.1967213114754096
